#,Tag ID,Pet link
1,tag-0001,"https://tag.chapiz.co.il/he/pet/tag-0001"
2,tag-0002,"https://tag.chapiz.co.il/he/pet/tag-0002"
3,tag-0003,"https://tag.chapiz.co.il/he/pet/tag-0003"
4,tag-0004,"https://tag.chapiz.co.il/he/pet/tag-0004"
5,tag-0005,"https://tag.chapiz.co.il/he/pet/tag-0005"
6,tag-0006,"https://tag.chapiz.co.il/he/pet/tag-0006"
7,tag-0007,"https://tag.chapiz.co.il/he/pet/tag-0007"
8,tag-0008,"https://tag.chapiz.co.il/he/pet/tag-0008"
9,tag-0009,"https://tag.chapiz.co.il/he/pet/tag-0009"
10,tag-0010,"https://tag.chapiz.co.il/he/pet/tag-0010"
11,tag-0011,"https://tag.chapiz.co.il/he/pet/tag-0011"
12,tag-0012,"https://tag.chapiz.co.il/he/pet/tag-0012"
13,tag-0013,"https://tag.chapiz.co.il/he/pet/tag-0013"
14,tag-0014,"https://tag.chapiz.co.il/he/pet/tag-0014"
15,tag-0015,"https://tag.chapiz.co.il/he/pet/tag-0015"
16,tag-0016,"https://tag.chapiz.co.il/he/pet/tag-0016"
17,tag-0017,"https://tag.chapiz.co.il/he/pet/tag-0017"
18,tag-0018,"https://tag.chapiz.co.il/he/pet/tag-0018"
19,tag-0019,"https://tag.chapiz.co.il/he/pet/tag-0019"
20,tag-0020,"https://tag.chapiz.co.il/he/pet/tag-0020"
21,tag-0021,"https://tag.chapiz.co.il/he/pet/tag-0021"
22,tag-0022,"https://tag.chapiz.co.il/he/pet/tag-0022"
23,tag-0023,"https://tag.chapiz.co.il/he/pet/tag-0023"
24,tag-0024,"https://tag.chapiz.co.il/he/pet/tag-0024"
25,tag-0025,"https://tag.chapiz.co.il/he/pet/tag-0025"
26,tag-0026,"https://tag.chapiz.co.il/he/pet/tag-0026"
27,tag-0027,"https://tag.chapiz.co.il/he/pet/tag-0027"
28,tag-0028,"https://tag.chapiz.co.il/he/pet/tag-0028"
29,tag-0029,"https://tag.chapiz.co.il/he/pet/tag-0029"
30,tag-0030,"https://tag.chapiz.co.il/he/pet/tag-0030"
31,tag-0031,"https://tag.chapiz.co.il/he/pet/tag-0031"
32,tag-0032,"https://tag.chapiz.co.il/he/pet/tag-0032"
33,tag-0033,"https://tag.chapiz.co.il/he/pet/tag-0033"
34,tag-0034,"https://tag.chapiz.co.il/he/pet/tag-0034"
35,tag-0035,"https://tag.chapiz.co.il/he/pet/tag-0035"
36,tag-0036,"https://tag.chapiz.co.il/he/pet/tag-0036"
37,tag-0037,"https://tag.chapiz.co.il/he/pet/tag-0037"
38,tag-0038,"https://tag.chapiz.co.il/he/pet/tag-0038"
39,tag-0039,"https://tag.chapiz.co.il/he/pet/tag-0039"
40,tag-0040,"https://tag.chapiz.co.il/he/pet/tag-0040"
41,tag-0041,"https://tag.chapiz.co.il/he/pet/tag-0041"
42,tag-0042,"https://tag.chapiz.co.il/he/pet/tag-0042"
